Energy,NA,Carbon,Aluminum,Copper,Tin,Tungsten,Lead
0.178596087,1502,621,676,762,599,342,291
0.179055203,1588,701,687,781,585,385,298
0.179514319,1473,574,602,720,546,370,262
0.179973435,1445,586,636,747,578,272,233
0.180432551,1493,594,626,761,483,304,216
0.180891667,1461,553,576,727,504,282,220
0.181350783,1490,535,615,705,502,212,134
0.181809899,1703,634,689,736,643,402,360
0.182269015,1599,650,658,757,641,337,296
0.182728131,1603,661,621,753,589,397,256
0.183187247,1568,571,560,654,489,237,192
0.183646362,1636,682,653,781,639,405,264
0.184105478,1618,598,628,749,574,352,215
0.184564594,1472,597,610,723,569,340,232
0.18502371,1637,650,685,682,593,393,307
0.185482826,1609,581,633,716,578,341,317
0.185941942,1596,598,595,705,554,364,259
0.186401058,1619,603,636,679,565,340,260
0.186860174,1612,580,627,703,629,373,317
0.18731929,1574,571,591,628,553,279,259
0.187778406,1589,545,601,663,483,325,275
0.188237521,1561,582,659,697,552,359,227
0.188696637,1604,655,571,679,534,378,311
0.189155753,1693,634,656,738,621,405,356
0.189614869,1545,489,592,612,502,327,233
0.190073985,1716,649,670,718,622,423,339
0.190533101,1611,522,572,663,538,333,316
0.190992217,1586,497,503,636,499,281,227
0.191451333,1675,498,521,629,480,328,194
0.191910449,1521,483,468,553,474,274,229
0.192369565,1709,537,589,649,508,317,267
0.192828681,1648,510,554,633,521,323,261
0.193287796,1595,512,532,559,577,334,246
0.193746912,1761,564,603,669,584,279,314
0.194206028,1716,495,519,678,464,288,244
0.194665144,1722,465,495,548,417,270,259
0.19512426,1669,459,554,548,467,267,261
0.195583376,1789,454,487,491,447,271,229
0.196042492,1889,399,461,531,401,193,154
0.196501608,2305,556,590,652,529,371,332
0.196960724,2332,414,447,521,411,237,136
0.19741984,2469,436,503,588,431,309,256
0.197878956,2551,537,607,627,536,290,279
0.198338071,2535,466,459,558,460,311,244
0.198797187,2439,480,459,499,474,224,229
0.199256303,2350,407,491,530,462,262,195
0.199715419,2242,404,438,535,392,277,183
0.200174535,2178,429,522,538,457,273,222
0.200633651,2076,355,391,426,362,177,160
0.201092767,2169,420,400,428,427,241,166
0.201551883,2192,431,505,519,478,314,235
0.202010999,2107,352,385,431,384,200,139
0.202470115,2060,382,468,526,417,288,228
0.20292923,2116,454,470,582,464,285,212
0.203388346,1968,394,458,508,449,250,216
0.203847462,1732,405,434,484,393,273,162
0.204306578,1458,381,475,529,374,247,215
0.204765694,1463,397,435,452,401,267,205
0.20522481,1519,393,429,536,474,234,205
0.205683926,1439,382,454,430,352,222,169
0.206143042,1431,352,366,412,358,167,190
0.206602158,1462,363,363,455,378,241,192
0.207061274,1425,360,393,482,413,261,207
0.20752039,1479,345,401,425,407,195,198
0.207979505,1445,310,394,472,392,196,177
0.208438621,1516,354,341,506,369,229,205
0.208897737,1465,329,319,387,323,185,117
0.209356853,1474,287,360,423,345,196,145
0.209815969,1438,376,435,485,420,292,171
0.210275085,1421,315,332,408,330,192,154
0.210734201,1474,341,344,451,388,210,177
0.211193317,1383,308,393,499,413,208,190
0.211652433,1319,314,325,357,280,124,106
0.212111549,1303,239,301,364,296,129,105
0.212570664,1425,356,374,435,368,253,154
0.21302978,1398,340,342,405,354,204,161
0.213488896,1427,256,327,408,312,161,129
0.213948012,1451,371,365,398,398,260,247
0.214407128,1424,293,309,376,344,192,151
0.214866244,1425,359,370,457,397,246,236
0.21532536,1333,272,358,446,346,221,185
0.215784476,1400,250,312,410,329,195,153
0.216243592,1380,308,305,394,306,180,120
0.216702708,1455,329,352,406,337,210,132
0.217161824,1321,288,284,366,330,151,145
